Opportunity ID,Business Account,Status,Stage,Estimated amount,Amount received,Difference,Class ID,Class,Programme financé
1957,C01586,Won,Won,2500.0,2500.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1955,C01784,New,Won,898002.0,449002.0,-449000.0,PPUB,Public partnership,Job dans la Ville
1953,C01385,Won,Won,15000.0,15000.0,0.0,PPUB,Public partnership,Job dans la Ville
1952,C00524,Won,Won,1700.0,1700.0,0.0,PPRIV MEC,Private partnership - Patronage,Job dans la Ville
1949,C01647,Won,Won,2030.47,2030.47,0.0,PPRIV TA,Private partnership - Apprenticeship tax,Job dans la Ville
1948,C01647,Won,Won,6752.38,6752.38,0.0,PPRIV TA,Private partnership - Apprenticeship tax,Job dans la Ville
1947,C00776,Won,Won,2620.29,2620.29,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1946,C00083,Won,Won,8000.0,8000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1945,C00788,Won,Won,1468.0,1468.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1944,C00905,Won,Won,996.0,996.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1943,C00099,Won,Won,4928.0,4928.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1942,C00601,Won,Won,6900.0,6900.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1941,C00370,Won,Won,1000.0,1000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1940,C01692,Won,Won,406.06,406.06,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1939,C00633,Won,Won,1852.0,1852.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1938,C02140,Won,Won,287.0,287.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1937,C02139,Won,Won,9298.0,9298.0,0.0,CAMP SAL,Campus - Room,
1936,C02100,Won,Won,3228.0,3026.4,-201.6,CAMP EVT,Campus - Event,
1934,C02105,Won,Won,350.0,350.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1932,C00589,Won,Won,500.0,500.0,0.0,CAMP EVT,Campus - Event,
1931,C00362,Won,Won,2071.26,2071.26,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1930,C00366,Won,Won,1308.0,1308.0,0.0,CAMP SAL,Campus - Room,
1929,C00022,Won,Won,240.0,240.0,0.0,CAMP SAL,Campus - Room,
1928,C02081,Won,Won,730.0,730.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1927,C02081,Won,Won,2651.0,2651.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
