Opportunity ID,Business Account,Contact ID,Estimated Close Date,Status,Stage,Probability,Estimated amount,Amount received,Difference,Class ID,Class,Programme financé,Agreement,Created On,Last Modified Date,Actual Close Date,Assignment Date
5392,C00011,,2023-03-22 00:00:00.000,Won,Won,100,200.0,200.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,Job dans la Ville,,2023-03-22 11:52:32.110,2023-03-27 10:41:09.507,2023-03-27 00:00:00.000,2023-03-22 11:44:02.187
5391,C17560,,2023-04-01 00:00:00.000,Won,Oral agreement,100,180.0,180.0,0.0,CAMP TER,Campus - Field,,,2023-03-22 11:12:44.660,2023-03-22 11:32:10.577,2023-03-22 00:00:00.000,2023-03-22 11:10:06.447
5390,C17559,,2023-03-26 00:00:00.000,Won,Oral agreement,80,100.0,0.0,-100.0,CAMP EVT,Campus - Event,,,2023-03-22 10:53:03.093,2023-03-22 11:16:29.787,2023-03-22 00:00:00.000,2023-03-22 10:51:45.753
5389,C01757,40330.0,2023-03-22 00:00:00.000,New,Oral agreement,80,20.0,0.0,-20.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-03-22 10:28:00.740,2023-03-22 10:28:40.140,,2023-03-22 10:27:18.640
5388,C15192,45044.0,2023-03-22 00:00:00.000,New,Oral agreement,80,10.0,0.0,-10.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-03-22 10:24:53.160,2023-03-22 10:26:02.740,,2023-03-22 10:24:07.353
5387,C01752,,2023-03-22 00:00:00.000,New,Oral agreement,80,100.0,0.0,-100.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-03-22 10:21:12.223,2023-03-22 10:22:01.600,,2023-03-22 10:20:37.860
5386,C04400,,2023-03-22 00:00:00.000,New,Oral agreement,80,10.0,0.0,-10.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-03-22 10:17:15.357,2023-03-22 10:18:01.570,,2023-03-22 10:16:28.473
5385,C01762,,2023-03-22 00:00:00.000,New,Oral agreement,80,200.0,0.0,-200.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-03-22 10:11:27.040,2023-03-22 10:14:36.190,,2023-03-22 10:10:38.293
5384,C11686,45289.0,2023-03-26 00:00:00.000,Won,Won,100,3500.0,3500.0,0.0,PPRIV EVNT,Private partnership - Event,,,2023-03-22 10:07:32.013,2023-07-03 11:35:39.797,2023-07-03 00:00:00.000,2023-03-22 10:06:24.447
5383,C01762,,2023-03-22 00:00:00.000,New,Oral agreement,80,200.0,0.0,-200.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-03-22 10:05:49.500,2023-03-22 10:10:03.077,,2023-03-22 10:05:10.820
